codigo,nombre,cantidad,precio_eur
40668-1,Captain America & Red Hulk,7,20.6529
76292-1,Captain America vs. Red Hulk Battle,15,37.1818
76319-1,Captain America vs. Thanos,18,24.7851
76262-1,Captain America's Shield,4,190.0743
76314-1,Captain America: Civil War Battle,12,70.2396
75349-1,Captain Rex Helmet,28,57.843
75391-1,Captain Rex Y-Wing Microfighter,33,10.7355
72040-1,Captain Toad's Camp - Expansion Set,10,10.7355
60408-1,Car Transporter,1,99.1653
60198-1,Cargo Train,10,206.6032
10416-1,Caring for Animals at the Farm,8,45.4463
42666-1,Cat Birthday Party,4,21.4793
71407-1,Cat Peach Suit and Frozen Tower - Expansion Set,2,57.843
30718-1,Cataclaws Snow Adventure paper bag,91,3.2975
76464-1,Cauldron: Secret Potions Classroom,23,43.7934
30712-1,Celebration Cake paper bag,240,3.2975
40758-1,Celebration: Ferris Wheel with Fireworks,9,20.6529
60478-1,Cement Mixer,11,28.9173
60469-1,Central Train Station,29,66.1074
40725-1,Cherry Blossoms,93,12.3884
10304-1,Chevrolet Camaro Z28,44,165.2809
42205-1,Chevrolet Corvette Stingray,55,45.4463
675371-1,Chewbacca,26,181.8099
21585-1,Chicken Farm,5,14.0413
21592-1,Chicken Jockey Desert Attack,18,18.1735
76449-1,Chomping Monster Book of Monsters,48,45.4463
75416-1,Chopper (C1-10P),24,82.6363
30692-1,Christmas Chimney Fun with Santa paper bag / polybag,561,3.2975
40744-1,Christmas Ornament Selection,298,12.3884
40743-1,Christmas Table Decoration,170,28.9173
40573-1,Christmas Tree,616,32.2231
10368-1,Chrysanthemum,24,22.3058
43206-1,Cinderella and Prince Charming's Castle,19,74.3719
43283-1,Cinderella Animal Friends Castle,20,20.6529
43275-1,Cinderella's Castle & Horse Carriage,11,56.1901
43266-1,Cinderella's Dress,19,28.9173
30695-1,Cinderella's Mini Garden Castle paper bag / polybag,109,4.124
60506-1,Classic Beach Streetcar,67,45.4463
76238-1,Classic TV Series Batman Cowl,4,70.2396
31220-1,Claude Monet - Bridge over a Pond of Water Lilies,34,140.4876
75350-1,Clone Commander Cody Helmet,2,82.6363
75448-1,Clone Shock Trooper Mech,34,11.562
75372-1,Clone Trooper & Battle Droid Battle Pack,14,22.3058
60503-1,Coast Guard Helicopter,15,42.9669
60504-1,Coast Guard Rescue Boat,15,78.5041
75437-1,Cobb Vanth's Speeder,1,21.4793
112326-1,Cole vs. Bone Knight metal box,80,4.124
30723-1,Cole's Car paper bag,162,3.2975
471854-1,Cole's Mission Mech,28,21.4793
31384-1,Colorful Hummingbird,34,21.4793
60395-1,Combo Race Pack,1,28.9173
10318-1,Concorde,25,190.0743
60420-1,Construction Excavator,2,49.5785
60401-1,Construction Steamroller,63,7.4297
30698-1,Cooper's Flying Controller Mini Build paper bag / polybag,53,3.2975
71489-1,Cooper's Gaming Controller Jet,9,14.0413
71497-1,Cooper's Tiger Mech & Zero's Hot Rod Car,4,70.2396
76461-1,Cornish Pixie,73,21.4793
75354-1,Coruscant Guard Gunship,2,165.2809
10321-1,Corvette,2,165.2809
11514-1,Cosmos Flowers,61,10.7355
42661-1,Costume Party,8,28.9173
42643-1,Cotton Candy Stand and Scooter,27,7.4297
42705-1,Cozy Fall Forest Cabin,7,70.2396
10795-1,Crafting with Baby Box,13,10.7355
42672-1,Creative Beach and Travel Suitcase,24,20.6529
11045-1,Creative Colorful Bricks,18,35.5289
11041-1,Creative Dinosaurs,19,23.9587
42697-1,Creative Dollhouse Suitcase,7,35.5289
42693-1,Creative Flower Shop,3,20.6529
11039-1,Creative Food Friends,132,7.4297
10444-1,Creative Garden & Flowers,28,14.0413
11042-1,Creative Happy Box,99,33.0496
77057-1,Creative Houses: Seasons of Fun,26,64.4545
11027-1,Creative Neon Fun,2,20.6529
11034-1,Creative Pets,2,28.9173
11037-1,Creative Space Planets,20,22.3058
10713-1,Creative Suitcase,6,15.6942
11036-1,Creative Vehicles,50,41.314
11012-1,Creative White Bricks,1,4.124
71418-1,Creativity Toolbox - Maker Set,2,49.5785
43012-1,Cristiano Ronaldo - Soccer Highlights,30,21.4793
43016-1,Cristiano Ronaldo - Soccer Legend,111,55.3636
71458-1,Crocodile Car,1,47.9256
10277-1,Crocodile Locomotive,2,231.3966
43277-1,Cruella De Vil's Car,38,37.1818
30715-1,Cute Animal Birthday Party paper bag,53,3.2975
31162-1,Cute Bunny,55,14.8678
30716-1,Cute Easter Bunny paper bag,500,3.2975
31376-1,Cute Hamster with a Flower,92,7.4297
77002-1,Cyclone vs. Metal Sonic,8,20.6529
40747-1,Daffodils,106,12.3884
10413-1,Daily Routines: Bath Time,38,10.7355
10414-1,Daily Routines: Eating & Bedtime,24,22.3058
11508-1,Daisies,107,11.562
76297-1,Dancing Groot,37,37.1818
75411-1,Darth Maul Mech,41,10.7355
175383-1,Darth Maul's Sith Infiltrator,5,74.3719
675439-1,Darth Vader Bust,32,35.5289
