id,proveedor,pais,tipo,codigo,nombre,tema,categoria_bricklink,cantidad,precio_eur_compra,costo_clp,precio_cliente_num,precio,imagen,plazo_entrega,origen
brickshop_holland_77006-1,brickshop_holland,NL,set_nuevo,77006-1,Team Sonic Command Truck,City,Sonic,12,49.5785,55528,77739,$77.739,https://img.bricklink.com/ItemImage/ST/0/77006-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_11208-1,brickshop_holland,NL,set_nuevo,11208-1,Team Spidey Pirate Ship,Friends,Friends,2,37.1818,41644,58301,$58.301,https://img.bricklink.com/ItemImage/ST/0/11208-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_10464-1,brickshop_holland,NL,set_nuevo,10464-1,Team Spidey Webquarters,Friends,Friends,6,35.5289,39792,55709,$55.709,https://img.bricklink.com/ItemImage/ST/0/10464-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_88012-1,brickshop_holland,NL,set_nuevo,88012-1,Technic Hub,Technic,Power FunctionsPowered Up,2,66.1074,74040,103656,$103.656,https://img.bricklink.com/ItemImage/ST/0/88012-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_40878-1,brickshop_holland,NL,set_nuevo,40878-1,Teenage Mutant Ninja Turtles Figures,BrickHeadz,BrickHeadz,2,45.4463,50900,71260,$71.260,https://img.bricklink.com/ItemImage/ST/0/40878-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_75358-1,brickshop_holland,NL,set_nuevo,75358-1,Tenoo Jedi Temple,Star Wars,Star Wars,10,37.1818,41644,58301,$58.301,https://img.bricklink.com/ItemImage/ST/0/75358-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_31209-1,brickshop_holland,NL,set_nuevo,31209-1,The Amazing Spider-Man,Marvel,Art,12,140.4876,157346,220285,$220.285,https://img.bricklink.com/ItemImage/ST/0/31209-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_43286-1,brickshop_holland,NL,set_nuevo,43286-1,The Aristocats Adorable Marie,Disney,Disney,28,28.9173,32387,45342,$45.342,https://img.bricklink.com/ItemImage/ST/0/43286-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21269-1,brickshop_holland,NL,set_nuevo,21269-1,The Armadillo Mine Expedition,Minecraft,Minecraft,9,20.6529,23131,32384,$32.384,https://img.bricklink.com/ItemImage/ST/0/21269-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21252-1,brickshop_holland,NL,set_nuevo,21252-1,The Armory,Minecraft,Minecraft,9,20.6529,23131,32384,$32.384,https://img.bricklink.com/ItemImage/ST/0/21252-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_76291-1,brickshop_holland,NL,set_nuevo,76291-1,The Avengers Assemble: Age of Ultron,Marvel,Super HeroesThe Infinity Saga,10,70.2396,78668,110136,$110.136,https://img.bricklink.com/ItemImage/ST/0/76291-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_76248-1,brickshop_holland,NL,set_nuevo,76248-1,The Avengers Quinjet,Marvel,Super HeroesThe Infinity Saga,5,82.6363,92553,129574,$129.574,https://img.bricklink.com/ItemImage/ST/0/76248-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21268-1,brickshop_holland,NL,set_nuevo,21268-1,The Baby Pig House,Minecraft,Minecraft,35,14.0413,15726,22017,$22.017,https://img.bricklink.com/ItemImage/ST/0/21268-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21263-1,brickshop_holland,NL,set_nuevo,21263-1,The Badlands Mineshaft,Minecraft,Minecraft,6,49.5785,55528,77739,$77.739,https://img.bricklink.com/ItemImage/ST/0/21263-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_75640-1,brickshop_holland,NL,set_nuevo,75640-1,The Baratie Floating Restaurant,One Piece,One Piece,16,211.5619,236949,331729,$331.729,https://img.bricklink.com/ItemImage/ST/0/75640-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_42155-1,brickshop_holland,NL,set_nuevo,42155-1,The Batman - Batcycle,Technic,Technic,22,38.0083,42569,59597,$59.597,https://img.bricklink.com/ItemImage/ST/0/42155-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_76332-1,brickshop_holland,NL,set_nuevo,76332-1,The Batman Batmobile,Super HeroesLegendary Batmobile CollectionThe Batman,Super HeroesLegendary Batmobile CollectionThe Batman,7,21.4793,24057,33680,$33.680,https://img.bricklink.com/ItemImage/ST/0/76332-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_71437-1,brickshop_holland,NL,set_nuevo,71437-1,The Bowser Express Train - Expansion Set,Super Mario,Super Mario,8,84.2892,94404,132165,$132.165,https://img.bricklink.com/ItemImage/ST/0/71437-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_76437-1,brickshop_holland,NL,set_nuevo,76437-1,The Burrow - Collectors' Edition,Harry Potter,Harry Potter,2,247.9255,277677,388747,$388.747,https://img.bricklink.com/ItemImage/ST/0/76437-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21260-1,brickshop_holland,NL,set_nuevo,21260-1,The Cherry Blossom Garden,Minecraft,Minecraft,24,19.8264,22206,31088,$31.088,https://img.bricklink.com/ItemImage/ST/0/21260-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21249-1,brickshop_holland,NL,set_nuevo,21249-1,The Crafting Box 4.0,Minecraft,Minecraft,12,82.6363,92553,129574,$129.574,https://img.bricklink.com/ItemImage/ST/0/21249-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_11370-1,brickshop_holland,NL,set_nuevo,11370-1,The Creel House,Stranger Things,Stranger Things,5,264.4545,296189,414665,$414.665,https://img.bricklink.com/ItemImage/ST/0/11370-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21276-1,brickshop_holland,NL,set_nuevo,21276-1,The Creeper,Minecraft,Minecraft,96,28.9173,32387,45342,$45.342,https://img.bricklink.com/ItemImage/ST/0/21276-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_75384-1,brickshop_holland,NL,set_nuevo,75384-1,The Crimson Firehawk,Star Wars,Star Wars,9,37.1818,41644,58301,$58.301,https://img.bricklink.com/ItemImage/ST/0/75384-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_75389-1,brickshop_holland,NL,set_nuevo,75389-1,The Dark Falcon,Star Wars,Star Wars,9,126.438,141611,198255,$198.255,https://img.bricklink.com/ItemImage/ST/0/75389-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_471859-1,brickshop_holland,NL,set_nuevo,471859-1,The Dragon of Life,Otros Sets LEGO,Otros Sets LEGO,4,70.2396,78668,110136,$110.136,https://img.bricklink.com/ItemImage/ST/0/471859-1.t1.png,35 a 40 días hábiles,Importación Europa
